Skeleton 0
     9.95366      291.333      2283.21
    -202.515      176.151      2346.72
     0.00000      0.00000      0.00000
    -223.912      362.544      2144.88
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     315.378      264.744      2284.51
     507.412      157.635      2355.43
     0.00000      0.00000      0.00000
     547.347      326.180      2145.90
     0.00000      0.00000      0.00000
     29.0280     -98.8526      2474.76
     61.8911     -498.087      2635.78
     0.00000      0.00000      0.00000
     55.5952     -846.454      2735.54
     227.551     -116.135      2475.60
     268.084     -518.483      2626.86
     0.00000      0.00000      0.00000
     282.316     -856.754      2748.05
Skeleton 0
     0.00000      0.00000 2.12278e-314
     179.873      464.792      2190.89
     161.620      277.801      2283.92
     144.882      84.8194      2379.23
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     8.87947      290.769      2283.36
    -201.757      176.076      2343.86
     0.00000      0.00000      0.00000
    -222.781      361.934      2142.04
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     314.361      264.833      2284.49
     506.707      156.817      2352.72
     0.00000      0.00000      0.00000
     545.050      327.765      2147.83
     0.00000      0.00000      0.00000
     28.8629     -99.7328      2474.17
     61.7959     -499.262      2634.48
     0.00000      0.00000      0.00000
     55.8301     -847.379      2733.18
     227.424     -116.591      2474.90
     268.454     -518.570      2627.03
     0.00000      0.00000      0.00000
     284.225     -859.138      2749.21
Skeleton 0
     0.00000      0.00000 2.12278e-314
     178.707      464.660      2190.06
     160.803      277.391      2283.85
     144.512      84.3643      2379.14
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     8.03922      290.093      2283.46
    -202.376      174.539      2341.43
     0.00000      0.00000      0.00000
    -224.020      361.879      2142.97
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     313.567      264.689      2284.23
     505.355      156.907      2351.86
     0.00000      0.00000      0.00000
     542.474      329.025      2145.90
     0.00000      0.00000      0.00000
     28.9247     -100.406      2474.18
     61.3815     -499.614      2635.41
     0.00000      0.00000      0.00000
     58.5584     -850.422      2738.90
     227.516     -116.918      2474.69
     268.386     -519.287      2625.84
     0.00000      0.00000      0.00000
     284.267     -859.168      2748.74
Skeleton 0
     0.00000      0.00000 2.12278e-314
     177.802      463.315      2183.15
     159.306      278.024      2281.60
     142.843      86.5685      2379.93
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     6.55115      290.820      2280.94
    -204.190      174.772      2340.71
     0.00000      0.00000      0.00000
    -224.401      361.722      2142.98
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     312.061      265.229      2282.26
     505.175      156.952      2349.93
     0.00000      0.00000      0.00000
     540.262      330.223      2145.34
     0.00000      0.00000      0.00000
     27.0901     -96.5706      2477.82
     56.8231     -495.687      2639.79
     0.00000      0.00000      0.00000
     58.4120     -846.538      2745.58
     225.670     -113.204      2478.68
     265.624     -513.738      2634.79
     0.00000      0.00000      0.00000
     283.240     -855.707      2752.97
Skeleton 0
     0.00000      0.00000 2.12278e-314
     177.700      464.862      2186.70
     158.940      278.757      2282.53
     142.098      86.4513      2379.13
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     6.18636      291.513      2281.29
    -203.592      173.383      2338.86
     0.00000      0.00000      0.00000
    -224.166      361.649      2143.19
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     311.694      266.002      2283.77
     503.091      155.478      2349.46
     0.00000      0.00000      0.00000
     541.753      330.292      2148.17
     0.00000      0.00000      0.00000
     25.9668     -97.5634      2474.92
     54.6154     -497.243      2635.71
     0.00000      0.00000      0.00000
     60.0023     -851.678      2741.07
     224.547     -114.146      2476.53
     265.252     -517.589      2624.56
     0.00000      0.00000      0.00000
     283.921     -862.653      2747.34
Skeleton 0
     0.00000      0.00000 2.12278e-314
     177.212      463.685      2181.47
     158.404      279.254      2280.71
     141.878      87.9091      2379.25
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     5.62840      291.735      2279.33
    -209.298      175.693      2339.43
     0.00000      0.00000      0.00000
    -223.762      361.562      2141.71
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     311.180      266.773      2282.10
     504.044      155.739      2356.73
     0.00000      0.00000      0.00000
     541.992      330.389      2150.73
     0.00000      0.00000      0.00000
     26.0479     -95.3236      2476.89
     55.8657     -493.289      2641.62
     0.00000      0.00000      0.00000
     61.6398     -848.104      2745.96
     224.654     -111.549      2478.70
     266.930     -513.056      2631.52
     0.00000      0.00000      0.00000
     286.128     -857.257      2750.91
Skeleton 0
     0.00000      0.00000 2.12278e-314
     178.582      463.617      2185.85
     158.422      278.811      2281.50
     141.082      86.6129      2378.23
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     5.67443      291.509      2279.35
    -211.645      179.342      2339.71
     0.00000      0.00000      0.00000
    -224.604      361.581      2140.70
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     311.169      266.113      2283.65
     501.526      153.872      2355.87
     0.00000      0.00000      0.00000
     541.833      330.650      2151.06
     0.00000      0.00000      0.00000
     24.4557     -97.3310      2473.55
     53.1636     -495.532      2637.94
     0.00000      0.00000      0.00000
     57.6895     -847.179      2734.65
     223.028     -113.838      2476.35
     266.105     -514.574      2631.07
     0.00000      0.00000      0.00000
     284.385     -860.217      2746.03
Skeleton 0
     0.00000      0.00000 2.12278e-314
     178.091      462.790      2188.05
     158.112      277.329      2282.08
     140.410      84.5666      2377.63
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     5.37111      289.980      2279.30
    -214.820      180.168      2342.36
     0.00000      0.00000      0.00000
    -226.610      361.395      2138.46
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     310.854      264.679      2284.86
     501.266      153.937      2353.93
     0.00000      0.00000      0.00000
     541.538      331.071      2151.05
     0.00000      0.00000      0.00000
     23.4269     -99.9733      2471.37
     53.0379     -497.504      2637.22
     0.00000      0.00000      0.00000
     55.6068     -848.230      2733.31
     221.989     -116.419      2474.98
     265.958     -517.630      2628.26
     0.00000      0.00000      0.00000
     284.964     -862.041      2747.31
Skeleton 0
     0.00000      0.00000 2.12278e-314
     177.483      462.322      2189.14
     157.367      276.317      2282.77
     139.704      83.3942      2378.01
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     4.61229      288.697      2279.52
    -217.410      181.584      2343.18
     0.00000      0.00000      0.00000
    -227.167      361.869      2138.48
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     310.121      263.938      2286.02
     500.633      152.469      2350.97
     0.00000      0.00000      0.00000
     542.321      331.167      2153.10
     0.00000      0.00000      0.00000
     22.7511     -101.482      2471.14
     54.7816     -497.496      2640.11
     0.00000      0.00000      0.00000
     54.6400     -847.803      2735.02
     221.330     -117.576      2475.37
     267.696     -517.838      2630.43
     0.00000      0.00000      0.00000
     283.840     -859.885      2748.24
Skeleton 0
     0.00000      0.00000 2.12278e-314
     176.607      462.056      2189.69
     156.417      275.561      2283.06
     138.725      82.4724      2377.97
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     3.65675      287.760      2279.40
    -218.704      180.791      2344.09
     0.00000      0.00000      0.00000
    -231.010      360.420      2138.52
     0.00000      0.00000      0.00000
